code_span,mid_homophone,decode,code_pinyin,decode_pinyin,code_ipa,decode_ipa,coded_lang_class
美眉,,妹妹,mei3 mei2,mei4 mei4,mei̯˧˩˧ mei̯˧˥,mei̯˥˩ mei̯˥˩,non_lexical_homophone
含裹魚,,韩国瑜,han2 guo3 yu2,han2 guo2 yu2,xa˧˥n kwo˧˩˧ y˧˥,xa˧˥n kwo˧˥ y˧˥,non_lexical_homophone
草泥马,,操你妈,cao3 ni2 ma3,cao1 ni3 ma1,tsʰau̯˧˩˧ ni˧˥ ma˧˩˧,tsʰau̯˥ ni˧˩˧ ma˥,ambiguous_homophone
煞笔,,傻逼,sha1 bi3,sha3 bi1,ʂa˥ pi˧˩˧,ʂa˧˩˧ pi˥,non_lexical_homophone
几把,,鸡巴,ji3 ba3,ji1 ba1,tɕi˧˩˧ pa˧˩˧,tɕi˥ pa˥,non_lexical_homophone
尼玛币,,你妈逼,ni2 ma3 bi4,ni3 ma1 bi1,ni˧˥ ma˧˩˧ pi˥˩,ni˧˩˧ ma˥ pi˥,non_lexical_homophone
下剑,,下贱,xia4 jian4,xia4 jian4,ɕja˥˩ tɕjɛ˥˩n,ɕja˥˩ tɕjɛ˥˩n,non_lexical_homophone
你玛,,你妈,ni3 ma3,ni3 ma1,ni˧˩˧ ma˧˩˧,ni˧˩˧ ma˥,non_lexical_homophone
曹尼玛,,操你妈,cao2 ni2 ma3,cao1 ni3 ma1,tsʰau̯˧˥ ni˧˥ ma˧˩˧,tsʰau̯˥ ni˧˩˧ ma˥,non_lexical_homophone
尼玛,,你妈,ni2 ma3,ni3 ma1,ni˧˥ ma˧˩˧,ni˧˩˧ ma˥,non_lexical_homophone
特么,,他妈,te4 me,ta1 ma1,tʰɤ˥˩ mɤ,tʰa˥ ma˥,non_lexical_homophone
惹,,了,re3,le,ɻɤ˧˩˧,lɤ,ambiguous_homophone
蔡,,菜,cai4,cai4,tsʰai̯˥˩,tsʰai̯˥˩,ambiguous_homophone
金厚呷,,真好吃,jin1 hou4 xia2,zhen1 hao3 chi1,tɕi˥n xou̯˥˩ ɕja˧˥,ʈʂə˥n xau̯˧˩˧ ʈʂʰɻ̩˥,non_lexical_homophone
灰常,,非常,hui1 chang2,fei1 chang2,xwei̯˥ ʈʂʰa˧˥ŋ,fei̯˥ ʈʂʰa˧˥ŋ,non_lexical_homophone
菇凉,,姑娘,gu1 liang2,gu1 niang2,ku˥ lja˧˥ŋ,ku˥ nja˧˥ŋ,non_lexical_homophone
桑心,,伤心,sang1 xin1,shang1 xin1,sa˥ŋ ɕi˥n,ʂa˥ŋ ɕi˥n,non_lexical_homophone
炒鸡,,超级,chao3 ji1,chao1 ji2,ʈʂʰau̯˧˩˧ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,ambiguous_homophone
盆友,,朋友,pen2 you3,peng2 you3,pʰə˧˥n jou̯˧˩˧,pʰə˧˥ŋ jou̯˧˩˧,non_lexical_homophone
辣鸡,,垃圾,la4 ji1,la1 ji1,la˥˩ tɕi˥,la˥ tɕi˥,ambiguous_homophone
墙裂,,强烈,qiang2 lie4,qiang2 lie4,tɕʰja˧˥ŋ lje˥˩,tɕʰja˧˥ŋ lje˥˩,ambiguous_homophone
涨姿势,,涨知识,zhang3 zi1 shi4,zhang3 zhi1 shi2,ʈʂa˧˩˧ŋ tsɹ̩˥ ʂɻ̩˥˩,ʈʂa˧˩˧ŋ ʈʂɻ̩˥ ʂɻ̩˧˥,non_lexical_homophone
木有,,没有,mu4 you3,mei2 you3,mu˥˩ jou̯˧˩˧,mei̯˧˥ jou̯˧˩˧,non_lexical_homophone
歪果仁,,外国人,wai1 guo3 ren2,wai4 guo2 ren2,wai̯˥ kwo˧˩˧ ɻə˧˥n,wai̯˥˩ kwo˧˥ ɻə˧˥n,non_lexical_homophone
开森,,开心,kai1 sen1,kai1 xin1,kʰai̯˥ sə˥n,kʰai̯˥ ɕi˥n,non_lexical_homophone
针不戳,,真不错,zhen1 bu4 chuo1,zhen1 bu4 cuo4,ʈʂə˥n pu˥˩ ʈʂʰwo˥,ʈʂə˥n pu˥˩ tsʰwo˥˩,non_lexical_homophone
知本家,,资本家,zhi1 ben3 jia1,zi1 ben3 jia1,ʈʂɻ̩˥ pə˧˩˧n tɕja˥,tsɹ̩˥ pə˧˩˧n tɕja˥,non_lexical_homophone
敲击,,超级,qiao1 ji1,chao1 ji2,tɕʰjau̯˥ tɕi˥,ʈʂʰau̯˥ tɕi˧˥,ambiguous_homophone
男票,,男朋友,nan2 piao4,nan2 peng2 you3,na˧˥n pʰjau̯˥˩,na˧˥n pʰə˧˥ŋ jou̯˧˩˧,non_lexical_homophone
墨迹,,磨叽,mo4 ji4,mo2 ji1,mwo˥˩ tɕi˥˩,mwo˧˥ tɕi˥,ambiguous_homophone
阔以,,可以,kuo4 yi3,ke3 yi3,kʰwo˥˩ i˧˩˧,kʰɤ˧˩˧ i˧˩˧,non_lexical_homophone
卧槽,,我操,wo4 cao2,wo3 cao1,wo˥˩ tsʰau̯˧˥,wo˧˩˧ tsʰau̯˥,non_lexical_homophone
稀饭,,喜欢,xi1 fan4,xi3 huan1,ɕi˥ fa˥˩n,ɕi˧˩˧ xwa˥n,ambiguous_homophone
内个,,那个,nei4 ge4,na4 ge,nei̯˥˩ kɤ˥˩,na˥˩ kɤ,non_lexical_homophone
碉堡,,屌爆,diao1 bao3,diao3 bao4,tjau̯˥ pau̯˧˩˧,tjau̯˧˩˧ pau̯˥˩,ambiguous_homophone
笔芯,,比心,bi3 xin1,bi3 xin1,pi˧˩˧ ɕi˥n,pi˧˩˧ ɕi˥n,ambiguous_homophone
童鞋,,同学,tong2 xie2,tong2 xue2,tʰʊ˧˥ŋ ɕje˧˥,tʰʊ˧˥ŋ ɕɥe˧˥,ambiguous_homophone
神马,,什么,shen2 ma3,shen2 me,ʂə˧˥n ma˧˩˧,ʂə˧˥n mɤ,ambiguous_homophone
火钳刘明,,火前留名,huo3 qian2 liu2 ming2,huo3 qian2 liu2 ming2,xwo˧˩˧ tɕʰjɛ˧˥n ljou̯˧˥ mi˧˥ŋ,xwo˧˩˧ tɕʰjɛ˧˥n ljou̯˧˥ mi˧˥ŋ,non_lexical_homophone
赶脚,,感觉,gan3 jiao3,gan3 jue2,ka˧˩˧n tɕjau̯˧˩˧,ka˧˩˧n tɕɥe˧˥,non_lexical_homophone
滚粗,,滚出,gun3 cu1,gun3 chu1,kwə˧˩˧n tsʰu˥,kwə˧˩˧n ʈʂʰu˥,non_lexical_homophone
捉急,,着急,zhuo1 ji2,zhao2 ji2,ʈʂwo˥ tɕi˧˥,ʈʂau̯˧˥ tɕi˧˥,non_lexical_homophone
沙雕,,傻屌,sha1 diao1,sha3 diao3,ʂa˥ tjau̯˥,ʂa˧˩˧ tjau̯˧˩˧,ambiguous_homophone
纱头,,shuttle,sha1 tou2,shuttle,ʂa˥ tʰou̯˧˥,[UNK],non_lexical_homophone
集美,,姐妹,ji2 mei3,jie3 mei4,tɕi˧˥ mei̯˧˩˧,tɕje˧˩˧ mei̯˥˩,non_lexical_homophone
阔爱,,可爱,kuo4 ai4,ke3 ai4,kʰwo˥˩ ai̯˥˩,kʰɤ˧˩˧ ai̯˥˩,non_lexical_homophone
帅锅,,帅哥,shuai4 guo1,shuai4 ge1,ʂwai̯˥˩ kwo˥,ʂwai̯˥˩ kɤ˥,non_lexical_homophone
温油,,温柔,wen1 you2,wen1 rou2,wə˥n jou̯˧˥,wə˥n ɻou̯˧˥,non_lexical_homophone
矮油,,哎哟,ai3 you2,ai1 yo1,ai̯˧˩˧ jou̯˧˥,ai̯˥ wo˥,non_lexical_homophone
内牛满面,,内流满面,nei4 niu2 man3 mian4,nei4 liu2 man3 mian4,nei̯˥˩ njou̯˧˥ ma˧˩˧n mjɛ˥˩n,nei̯˥˩ ljou̯˧˥ ma˧˩˧n mjɛ˥˩n,non_lexical_homophone
冲鸭,,冲呀,chong1 ya1,chong1 ya,ʈʂʰʊ˥ŋ ja˥,ʈʂʰʊ˥ŋ ja,non_lexical_homophone
骚年,,少年,sao1 nian2,shao4 nian2,sau̯˥ njɛ˧˥n,ʂau̯˥˩ njɛ˧˥n,non_lexical_homophone
腻害,,厉害,ni4 hai4,li4 hai4,ni˥˩ xai̯˥˩,li˥˩ xai̯˥˩,non_lexical_homophone
兄弟萌,,兄弟们,xiong1 di4 meng2,xiong1 di4 men,ɕjʊ˥ŋ ti˥˩ mə˧˥ŋ,ɕjʊ˥ŋ ti˥˩ mən,non_lexical_homophone
劳资,,老子,lao2 zi1,lao3 zi,lau̯˧˥ tsɹ̩˥,lau̯˧˩˧ tsɹ̩,ambiguous_homophone
我就去年买了块表,,我就去你妈了个逼,wo3 jiu4 qu4 nian2 mai3 le kuai4 biao3,wo3 jiu4 qu4 ni3 ma1 le ge4 bi1,wo˧˩˧ tɕjou̯˥˩ tɕʰy˥˩ njɛ˧˥n mai̯˧˩˧ lɤ kʰwai̯˥˩ pjau̯˧˩˧,wo˧˩˧ tɕjou̯˥˩ tɕʰy˥˩ ni˧˩˧ ma˥ lɤ kɤ˥˩ pi˥,ambiguous_homophone
马勒戈壁,,妈了个逼,ma3 le4 ge1 bi4,ma1 le ge4 bi1,ma˧˩˧ lɤ˥˩ kɤ˥ pi˥˩,ma˥ lɤ kɤ˥˩ pi˥,ambiguous_homophone
我擦,,我操,wo3 ca1,wo3 cao1,wo˧˩˧ tsʰa˥,wo˧˩˧ tsʰau̯˥,non_lexical_homophone
蝦,,瞎,xia1,xia1,ɕja˥,ɕja˥,ambiguous_homophone
次,,吃,ci4,chi1,tsʰɹ̩˥˩,ʈʂʰɻ̩˥,ambiguous_homophone
你牠妈,,你他妈,ni3 ta1 ma1,ni3 ta1 ma1,ni˧˩˧ tʰa˥ ma˥,ni˧˩˧ tʰa˥ ma˥,non_lexical_homophone
美见过,,没见过,mei3 jian4 guo4,mei2 jian4 guo4,mei̯˧˩˧ tɕjɛ˥˩n kwo˥˩,mei̯˧˥ tɕjɛ˥˩n kwo˥˩,non_lexical_homophone
幸胡,,幸福,xing4 hu2,xing4 fu2,ɕi˥˩ŋ xu˧˥,ɕi˥˩ŋ fu˧˥,non_lexical_homophone
叨尼,,屌你,dao1 ni2,diao3 ni3,tau̯˥ ni˧˥,tjau̯˧˩˧ ni˧˩˧,non_lexical_homophone
偶們,,我們,ou3 men,wo3 men,ou̯˧˩˧ mən,wo˧˩˧ mən,non_lexical_homophone
偶,,我,ou3,wo3,ou̯˧˩˧,wo˧˩˧,ambiguous_homophone
妈个比,,妈个逼,ma1 ge4 bi3,ma1 ge4 bi1,ma˥ kɤ˥˩ pi˧˩˧,ma˥ kɤ˥˩ pi˥,non_lexical_homophone
小标子曼,,小婊子们,xiao3 biao1 zi man4,xiao3 biao3 zi men,ɕjau̯˧˩˧ pjau̯˥ tsɹ̩ ma˥˩n,ɕjau̯˧˩˧ pjau̯˧˩˧ tsɹ̩ mən,non_lexical_homophone
睹場,,賭場,du3 chang3,du3 chang3,tu˧˩˧ ʈʂʰa˧˩˧ŋ,tu˧˩˧ ʈʂʰa˧˩˧ŋ,non_lexical_homophone
恭平,,公平,gong1 ping2,gong1 ping2,kʊ˥ŋ pʰi˧˥ŋ,kʊ˥ŋ pʰi˧˥ŋ,non_lexical_homophone
挖,,哇,wa1,wa,wa˥,wa,ambiguous_homophone
辣,,啦,la4,la,la˥˩,la,ambiguous_homophone
卧怂,,我怂,wo4 song3,wo3 song3,wo˥˩ sʊ˧˩˧ŋ,wo˧˩˧ sʊ˧˩˧ŋ,non_lexical_homophone
咖灰,,咖啡,ka1 hui1,ka1 fei1,kʰa˥ xwei̯˥,kʰa˥ fei̯˥,non_lexical_homophone
落膻鸡,,洛杉矶,luo4 shan1 ji1,luo4 shan1 ji1,lwo˥˩ ʂa˥n tɕi˥,lwo˥˩ ʂa˥n tɕi˥,non_lexical_homophone
药,,要,yao4,yao4,jau̯˥˩,jau̯˥˩,ambiguous_homophone
特码,,他妈,te4 ma3,ta1 ma1,tʰɤ˥˩ ma˧˩˧,tʰa˥ ma˥,non_lexical_homophone
湘当,,相当,xiang1 dang1,xiang1 dang1,ɕja˥ŋ ta˥ŋ,ɕja˥ŋ ta˥ŋ,non_lexical_homophone
生曰,,生日,sheng1 yue1,sheng1 ri4,ʂə˥ŋ ɥe˥,ʂə˥ŋ ɻɻ̩˥˩,non_lexical_homophone
镇,,真,zhen4,zhen1,ʈʂə˥˩n,ʈʂə˥n,ambiguous_homophone
好次,,好吃,hao3 ci4,hao3 chi1,xau̯˧˩˧ tsʰɹ̩˥˩,xau̯˧˩˧ ʈʂʰɻ̩˥,non_lexical_homophone
积极,,自己,ji1 ji2,zi4 ji3,tɕi˥ tɕi˧˥,tsɹ̩˥˩ tɕi˧˩˧,ambiguous_homophone
极贼,,鸡贼,ji2 zei2,ji1 zei2,tɕi˧˥ tsei̯˧˥,tɕi˥ tsei̯˧˥,non_lexical_homophone
五花又,,五花肉,wu3 hua1 you4,wu3 hua1 rou4,u˧˩˧ xwa˥ jou̯˥˩,u˧˩˧ xwa˥ ɻou̯˥˩,non_lexical_homophone
滴,,的,di1,de,ti˥,tɤ,ambiguous_homophone
嘟,,都,du1,dou1,tu˥,tou̯˥,ambiguous_homophone
辣么,,那么,la4 me,na4 me,la˥˩ mɤ,na˥˩ mɤ,non_lexical_homophone
敲,,超,qiao1,chao1,tɕʰjau̯˥,ʈʂʰau̯˥,ambiguous_homophone
呆丸狼,,台湾人,dai1 wan2 lang2,tai2 wan1 ren2,tai̯˥ wa˧˥n la˧˥ŋ,tʰai̯˧˥ wa˥n ɻə˧˥n,non_lexical_homophone
shi wang,,失望,shi wang,shi1 wang4,ʂɻ̩ waŋ,ʂɻ̩˥ wa˥˩ŋ,phonetic
吃shi,,吃屎,chi1 shi,chi1 shi3,ʈʂʰɻ̩˥ ʂɻ̩,ʈʂʰɻ̩˥ ʂɻ̩˧˩˧,phonetic
shi了,,死了,shi le,si3 le,ʂɻ̩ lɤ,sɹ̩˧˩˧ lɤ,phonetic
cao,,操,cao,cao1,tsʰau̯,tsʰau̯˥,phonetic
cao你吗,,操你妈,cao ni3 ma,cao1 ni3 ma1,tsʰau̯ ni˧˩˧ ma,tsʰau̯˥ ni˧˩˧ ma˥,phonetic
diao,,屌,diao,diao3,tjau̯,tjau̯˧˩˧,phonetic
gan,,干,gan,gan4,kan,ka˥˩n,phonetic
shi,,屎,shi,shi3,ʂɻ̩,ʂɻ̩˧˩˧,phonetic
hen,,很,hen,hen3,xən,xə˧˩˧n,phonetic
e度,,呢度,e du4,ne du4,ɤ tu˥˩,nɤ tu˥˩,phonetic
e间,,呢间,e jian1,ne jian1,ɤ tɕjɛ˥n,nɤ tɕjɛ˥n,phonetic
反suan水,,反酸水,fan3 suan shui3,fan3 suan1 shui3,fa˧˩˧n swan ʂwei̯˧˩˧,fa˧˩˧n swa˥n ʂwei̯˧˩˧,phonetic
二nei村,,二奶村,er4 nei cun1,er4 nai3 cun1,ɚ˥˩ nei̯ tsʰwə˥n,ɚ˥˩ nai̯˧˩˧ tsʰwə˥n,phonetic
吴xiu波,,吴秀波,wu2 xiu bo1,wu2 xiu4 bo1,u˧˥ ɕjou̯ pwo˥,u˧˥ ɕjou̯˥˩ pwo˥,phonetic
chǒu,,丑,chǒu,chou3,ʈ͡ʂʰòʊ̯,ʈ͡ʂʰòʊ̯,phonetic
D,,啲,D,di1,ˈdi,ti˥,phonetic
一p,,一批,yi1 p,yi1 pi1,i˥ ˈpi,i˥ pʰi˥,phonetic
v5,,威武,v wu3,wei1 wu3,ˈvi u˧˩˧,wei̯˥ u˧˩˧,phonetic
抠jio,,抠脚,kou1 jio,kou1 jiao3,kʰóʊ̯.t͡ɕi.ɔ,kʰóʊ̯.t͡ɕjɑ̀ʊ̯,phonetic
b,,逼,b,bi1,pi˥,pi˥,phonetic
懵B,,懵逼,meng3 B,meng3 bi1,mə˧˩˧ŋ pi˥,mə˧˩˧ŋ pi˥,phonetic
捞B,,捞逼,lao1 B,lao1 bi1,lau̯˥ pi˥,lau̯˥ pi˥,phonetic
抠b,,抠逼,kou1 b,kou1 bi1,kʰou̯˥i pi˥,kʰou̯˥ pi˥,phonetic
sb,,傻逼,sb,sha3 bi1,ˈɛs pi˥,ʂa˧˩˧ pi˥,phonetic
shab,,傻逼,shab,sha3 bi1,ʂa pi˥,ʂa˧˩˧ pi˥,phonetic
jb,,鸡巴,jb,ji1 ba1,ˈdʒeɪ pi˥,tɕi˥ pa˥,phonetic
ㄔㄜ,,车,ch e,che1,ʈ͡ʂʰɤ,ʈʂʰɤ˥,phonetic
ㄔ,,吃,ch,chi1,tʂʰ,ʈʂʰɻ̩˥,phonetic
好ㄘ,,好吃,hao3 c,hao3 chi1,xau̯˧˩˧ tsʰ,xau̯˧˩˧ ʈʂʰɻ̩˥,phonetic
ㄘ,,吃,c,chi1,tsʰ,ʈʂʰɻ̩˥,phonetic
ㄉ,,的,d,de,t,tɤ,phonetic
ㄋㄡ,,喏,n ou,nuo4,noʊ̯,nwɔ̂,phonetic
ㄛ,,哦,o,o2,ɔ,ɔ˧˥,phonetic
乚,,好,hao2,hao3,i˧˩˧n,xau̯˧˩˧,phonetic
法克,,fuck,fa3 ke4,fuck,fa˧˩˧ kʰɤ˥˩,fʌk,transliteration
古德,,good,gu3 de2,good,ku˧˩˧ tɤ˧˥,ɡʊd,transliteration
歪瑞,,very,wai1 rui4,very,wai̯˥ ɻwei̯˥˩,vɛri,transliteration
歪瑞古德,,very good,wai1 rui4 gu3 de2,very good,wai̯˥ ɻwei̯˥˩ ku˧˩˧ tɤ˧˥,vɛri ˈɡʊd,transliteration
歪立古德,,very good,wai1 li4 gu3 de2,very good,wai̯˥ li˥˩ ku˧˩˧ tɤ˧˥,vɛri ˈɡʊd,transliteration
ww,,wa wa,ww,wa wa,ˈdəbəɫju ˈdəbəɫju,wä wä,phonetic
mmlgb,,妈妈了个逼,mmlgb,ma1 ma1 le ge4 bi1,ˈɛm ˈɛm ˈɛɫ ˈdʒi pi˥,ma˥ ma˥ lɤ kɤ˥˩ pi˥,phonetic
mlgb,,妈了个逼,mlgb,ma1 le ge4 bi1,ˈɛm  ˈɛɫ/ ˈdʒi pi˥,ma˥ lɤ kɤ˥˩ pi˥,phonetic
rmb,,人民币,rmb,ren2 min2 bi4,ˈɑɹ ˈɛm pi˥,ɻə˧˥n mi˧˥n pi˥˩,phonetic
mmp,,妈卖批,mmp,ma1 mai4 pi1,ˈɛm ˈɛm ˈpi,ma˥ mai̯˥˩ pʰi˥,phonetic
jizei,,鸡贼,ji zei,ji1 zei2,tɕi tsei̯,tɕi˥ tsei̯˧˥,phonetic
nmb,,你妈逼,nmb,ni3 ma1 bi1,ˈɛn ˈɛm pi˥,ni˧˩˧ ma˥ pi˥,phonetic
nb,,牛逼,nb,niu2 bi1,ˈɛn pi˥,njou̯˧˥ pi˥,phonetic
mm,,妹妹,mm,mei4 mei4,ˈɛm ˈɛm,mei̯˥˩ mei̯˥˩,phonetic
cnm,,操你妈,cnm,cao1 ni3 ma1,ˈsi ˈɛn ˈɛm,tsʰau̯˥ ni˧˩˧ ma˥,phonetic
Cnmm,,操你妈妈,Cnmm,cao1 ni3 ma1 ma1,ˈsi ˈɛn ˈɛm ˈɛm,tsʰau̯˥ ni˧˩˧ ma˥ ma˥,phonetic
tm,,他妈,tm,ta1 ma1,ˈti ˈɛm,tʰa˥ ma˥,phonetic
tmd,,他妈的,tmd,ta1 ma1 de,ˈti ˈɛm ti,tʰa˥ ma˥ tɤ,phonetic
qtmd,,去他妈的,qtmd,qu4 ta1 ma1 de,ˈkju ˈti ˈɛm ti,tɕʰy˥˩ tʰa˥ ma˥ tɤ,phonetic
ctm,,操他妈,ctm,cao1 ta1 ma1,ˈsi ˈti ˈɛm,tsʰau̯˥ tʰa˥ ma˥,phonetic
wrnmmp,,我日你妈卖批,wrnmmp,wo3 ri4 ni3 ma1 mai4 pi1,ˈdəbəɫju ˈɑɹ ˈɛn ˈɛm ˈɛm ˈpi,wo˧˩˧ ɻɻ̩˥˩ ni˧˩˧ ma˥ mai̯˥˩ pʰi˥,phonetic
wcnm,,我操你妈,wcnm,wo3 cao1 ni3 ma1,ˈdəbəɫju ˈsi ˈɛn ˈɛm,wo˧˩˧ tsʰau̯˥ ni˧˩˧ ma˥,phonetic
nmsl,,你妈死了,nmsl,ni3 ma1 si3 le,ˈɛm ˈɛm ˈɛs ˈɛɫ,ni˧˩˧ ma˥ sɹ̩˧˩˧ lɤ,phonetic
mdzz,,妈的智障,mdzz,ma1 de zhi4 zhang4,ˈɛm ti ˈzi ˈzi ,ma˥ tɤ ʈʂɻ̩˥˩ ʈʂa˥˩ŋ,phonetic
sbdx,,傻逼东西,sbdx,sha3 bi1 dong1 xi1,ˈɛs pi˥ ti ˈɛks ,ʂa˧˩˧ pi˥ tʊ˥ŋ ɕi˥,phonetic
章🐟燒,,章鱼烧,,,,,emoji
👴🏻,,爷,,,,,emoji
龙🦐,,龙虾,,,,,emoji
艹,,草,,,,,orthographic
🐔零儿,,鸡零儿,,,,,emoji
①,,一,,,,,emoji
万①,,万一,,,,,emoji
①定,,一定,,,,,emoji
①下,,一下,,,,,emoji
①心,,一心,,,,,emoji
①般,,一般,,,,,emoji
①般般,,一般般,,,,,emoji
G00g,,GOOD,,,,,orthographic
0K,,OK,,,,,orthographic
N0,,NO,,,,,orthographic
G00D,,GOOD,,,,,orthographic
2333,,哈哈哈,,,,,emoji
ww,,哈哈,,,,,cross-lingual
www,,哈哈哈,,,,,cross-lingual
X,,叉,,,,,orthographic
